# rank, time, memory kiB
0, 1.68694362424443698e+09, 2995512
1, 1.68694362424445510e+09, 3055940
2, 1.68694362424493790e+09, 2951692
3, 1.68694362424489999e+09, 3025084
4, 1.68694362424454093e+09, 2960228
5, 1.68694362424454594e+09, 3002920
6, 1.68694362424464989e+09, 3044060
7, 1.68694362424450707e+09, 3009524
8, 1.68694362424451208e+09, 2980272
9, 1.68694362424452591e+09, 2955012
10, 1.68694362424450111e+09, 3046336
11, 1.68694362424452901e+09, 3046416
12, 1.68694362424449110e+09, 3029176
13, 1.68694362424452591e+09, 3012436
14, 1.68694362424450588e+09, 3039244
15, 1.68694362424450302e+09, 3018452
16, 1.68694362424450302e+09, 3002488
17, 1.68694362424448991e+09, 3017960
18, 1.68694362424447608e+09, 3030544
19, 1.68694362424448895e+09, 2997392
20, 1.68694362424449897e+09, 2961532
21, 1.68694362424447894e+09, 3047100
22, 1.68694362424447203e+09, 3026048
23, 1.68694362424448991e+09, 3011880
24, 1.68694362424451494e+09, 2985852
25, 1.68694362424450803e+09, 3023288
26, 1.68694362424450588e+09, 3092320
27, 1.68694362424446106e+09, 2954332
28, 1.68694362424454403e+09, 3002512
29, 1.68694362424450493e+09, 2951516
30, 1.68694362424450898e+09, 3023816
31, 1.68694362424453807e+09, 2960720
