# rank, time, memory kiB
0, 1.69169809000408196e+09, 16373064
0, 1.69169811000441599e+09, 16767272
0, 1.69169813000458908e+09, 16767272
0, 1.69169815000477290e+09, 16767272
0, 1.69169817000495696e+09, 16767272
0, 1.69169819000515795e+09, 16767272
0, 1.69169821000533700e+09, 16767272
0, 1.69169823000553703e+09, 16767288
0, 1.69169825000573301e+09, 16767288
0, 1.69169827000593901e+09, 16767288
1, 1.69169809000405598e+09, 16402396
1, 1.69169811000439501e+09, 16718484
1, 1.69169813000456595e+09, 16718484
1, 1.69169815000472903e+09, 16718484
1, 1.69169817000486803e+09, 16718484
1, 1.69169819000499701e+09, 16718484
1, 1.69169821000517607e+09, 16718484
1, 1.69169823000534606e+09, 16718500
1, 1.69169825000552607e+09, 16718500
1, 1.69169827000569391e+09, 16718500
2, 1.69169809000396800e+09, 16445988
2, 1.69169811000431705e+09, 16762100
2, 1.69169813000450301e+09, 16762100
2, 1.69169815000467610e+09, 16762100
2, 1.69169817000485206e+09, 16762100
2, 1.69169819000503206e+09, 16762100
2, 1.69169821000521207e+09, 16762100
2, 1.69169823000538111e+09, 16762116
2, 1.69169825000555992e+09, 16762116
2, 1.69169827000573897e+09, 16762116
3, 1.69169809000400996e+09, 16408868
3, 1.69169811000433803e+09, 16803076
3, 1.69169813000452089e+09, 16803076
3, 1.69169815000467896e+09, 16803076
3, 1.69169817000484395e+09, 16803076
3, 1.69169819000502110e+09, 16803076
3, 1.69169821000518990e+09, 16803076
3, 1.69169823000536299e+09, 16803092
3, 1.69169825000552201e+09, 16803092
3, 1.69169827000569010e+09, 16803092
4, 1.69169809000413108e+09, 16442876
4, 1.69169811000446200e+09, 16760980
4, 1.69169813000466299e+09, 16760988
4, 1.69169815000484395e+09, 16760988
4, 1.69169817000505996e+09, 16760988
4, 1.69169819000524807e+09, 16760988
4, 1.69169821000545692e+09, 16760988
4, 1.69169823000566006e+09, 16761012
4, 1.69169825000587296e+09, 16761012
4, 1.69169827000605702e+09, 16761012
5, 1.69169809000407100e+09, 16407308
5, 1.69169811000433111e+09, 16801504
5, 1.69169813000451899e+09, 16801512
5, 1.69169815000468111e+09, 16801512
5, 1.69169817000486493e+09, 16801512
5, 1.69169819000506306e+09, 16801512
5, 1.69169821000523806e+09, 16801512
5, 1.69169823000540709e+09, 16801532
5, 1.69169825000559306e+09, 16801532
5, 1.69169827000576711e+09, 16801532
6, 1.69169809000398207e+09, 16443216
6, 1.69169811000424790e+09, 16759276
6, 1.69169813000441790e+09, 16759284
6, 1.69169815000463009e+09, 16759284
6, 1.69169817000480604e+09, 16759284
6, 1.69169819000503111e+09, 16759284
6, 1.69169821000522804e+09, 16759284
6, 1.69169823000543094e+09, 16759308
6, 1.69169825000563192e+09, 16759308
6, 1.69169827000581908e+09, 16759308
7, 1.69169809000403690e+09, 16408272
7, 1.69169811000438595e+09, 16802476
7, 1.69169813000459099e+09, 16802480
7, 1.69169815000480103e+09, 16802480
7, 1.69169817000498509e+09, 16802480
7, 1.69169819000520110e+09, 16802480
7, 1.69169821000540495e+09, 16802480
7, 1.69169823000564790e+09, 16802504
7, 1.69169825000584102e+09, 16802504
7, 1.69169827000605297e+09, 16802504
8, 1.69169809000408196e+09, 16401396
8, 1.69169811000443101e+09, 16795584
8, 1.69169813000460291e+09, 16795592
8, 1.69169815000479293e+09, 16795592
8, 1.69169817000497389e+09, 16795592
8, 1.69169819000516200e+09, 16795592
8, 1.69169821000533891e+09, 16795592
8, 1.69169823000553703e+09, 16795608
8, 1.69169825000571489e+09, 16795608
8, 1.69169827000590396e+09, 16795608
9, 1.69169809000405908e+09, 16409508
9, 1.69169811000437593e+09, 16803712
9, 1.69169813000453711e+09, 16803712
9, 1.69169815000470710e+09, 16803720
9, 1.69169817000488091e+09, 16803720
