# rank, time, memory kiB
0, 1.69169699145053196e+09, 16407504
0, 1.69169701145082903e+09, 16722808
0, 1.69169703145094490e+09, 16722808
0, 1.69169705145111609e+09, 16722808
0, 1.69169707145128202e+09, 16722808
0, 1.69169709145144391e+09, 16722808
0, 1.69169711145163798e+09, 16722808
0, 1.69169713145181394e+09, 16722824
0, 1.69169715145199394e+09, 16722824
0, 1.69169717145223689e+09, 16722824
1, 1.69169699145050097e+09, 16415416
1, 1.69169701145081902e+09, 16808644
1, 1.69169703145102906e+09, 16808644
1, 1.69169705145128608e+09, 16808644
1, 1.69169707145151305e+09, 16808644
1, 1.69169709145173693e+09, 16808644
1, 1.69169711145195198e+09, 16808644
1, 1.69169713145216107e+09, 16808660
1, 1.69169715145238209e+09, 16808660
1, 1.69169717145262408e+09, 16808660
2, 1.69169699145036101e+09, 16401100
2, 1.69169701145066190e+09, 16716376
2, 1.69169703145084596e+09, 16716376
2, 1.69169705145102096e+09, 16716376
2, 1.69169707145118594e+09, 16716376
2, 1.69169709145133996e+09, 16716376
2, 1.69169711145150495e+09, 16716376
2, 1.69169713145166802e+09, 16716392
2, 1.69169715145182991e+09, 16716392
2, 1.69169717145197701e+09, 16716392
3, 1.69169699145040798e+09, 16416904
3, 1.69169701145072699e+09, 16732216
3, 1.69169703145088601e+09, 16732216
3, 1.69169705145105910e+09, 16732216
3, 1.69169707145121789e+09, 16732216
3, 1.69169709145138502e+09, 16732216
3, 1.69169711145154595e+09, 16732216
3, 1.69169713145171690e+09, 16732232
3, 1.69169715145186400e+09, 16732232
3, 1.69169717145202303e+09, 16732232
4, 1.69169699145047307e+09, 16399184
4, 1.69169701145078897e+09, 16792432
4, 1.69169703145096707e+09, 16792432
4, 1.69169705145113897e+09, 16792432
4, 1.69169707145134091e+09, 16792432
4, 1.69169709145152497e+09, 16792432
4, 1.69169711145171595e+09, 16792432
4, 1.69169713145189309e+09, 16792448
4, 1.69169715145209289e+09, 16792448
4, 1.69169717145227695e+09, 16792448
5, 1.69169699145042896e+09, 16436788
5, 1.69169701145077109e+09, 16752100
5, 1.69169703145093989e+09, 16752100
5, 1.69169705145112896e+09, 16752100
5, 1.69169707145131993e+09, 16752100
5, 1.69169709145148993e+09, 16752100
5, 1.69169711145168304e+09, 16752100
5, 1.69169713145185494e+09, 16752116
5, 1.69169715145203209e+09, 16752116
5, 1.69169717145223808e+09, 16752116
6, 1.69169699145036507e+09, 16379108
6, 1.69169701145068407e+09, 16772364
6, 1.69169703145084691e+09, 16772364
6, 1.69169705145100808e+09, 16772364
6, 1.69169707145119405e+09, 16772364
6, 1.69169709145136309e+09, 16772364
6, 1.69169711145153499e+09, 16772364
6, 1.69169713145169806e+09, 16772380
6, 1.69169715145187402e+09, 16772380
6, 1.69169717145204806e+09, 16772380
7, 1.69169699145031095e+09, 16375340
7, 1.69169701145063806e+09, 16768580
7, 1.69169703145080495e+09, 16768580
7, 1.69169705145096898e+09, 16768580
7, 1.69169707145115590e+09, 16768580
7, 1.69169709145132804e+09, 16768580
7, 1.69169711145149994e+09, 16768580
7, 1.69169713145169210e+09, 16768596
7, 1.69169715145189095e+09, 16768596
7, 1.69169717145207405e+09, 16768596
8, 1.69169699145048499e+09, 16372856
8, 1.69169701145074201e+09, 16766080
8, 1.69169703145089412e+09, 16766080
8, 1.69169705145106697e+09, 16766080
8, 1.69169707145122910e+09, 16766080
8, 1.69169709145134902e+09, 16766080
8, 1.69169711145150590e+09, 16766080
8, 1.69169713145167303e+09, 16766096
8, 1.69169715145181203e+09, 16766096
8, 1.69169717145197201e+09, 16766096
9, 1.69169699145046902e+09, 16415440
9, 1.69169701145081401e+09, 16730744
9, 1.69169703145098090e+09, 16730744
9, 1.69169705145116091e+09, 16730744
9, 1.69169707145131993e+09, 16730744
9, 1.69169709145148897e+09, 16730744
9, 1.69169711145165396e+09, 16730744
9, 1.69169713145183110e+09, 16730760
9, 1.69169715145198703e+09, 16730760
9, 1.69169717145217991e+09, 16730760
10, 1.69169699145040607e+09, 16410572
10, 1.69169701145071101e+09, 16725900
10, 1.69169703145086503e+09, 16725900
10, 1.69169705145103788e+09, 16725900
10, 1.69169707145120597e+09, 16725900
10, 1.69169709145135999e+09, 16725900
10, 1.69169711145152497e+09, 16725900
10, 1.69169713145169497e+09, 16725916
10, 1.69169715145186400e+09, 16725916
10, 1.69169717145201802e+09, 16725916
11, 1.69169699145053601e+09, 16364440
11, 1.69169701145084405e+09, 16757680
11, 1.69169703145099592e+09, 16757680
11, 1.69169705145118499e+09, 16757680
11, 1.69169707145134711e+09, 16757680
11, 1.69169709145149708e+09, 16757680
11, 1.69169711145166397e+09, 16757680
11, 1.69169713145182991e+09, 16757696
11, 1.69169715145199299e+09, 16757696
11, 1.69169717145217395e+09, 16757696
12, 1.69169699145054889e+09, 16395756
12, 1.69169701145084906e+09, 16789000
12, 1.69169703145103598e+09, 16789000
12, 1.69169705145118809e+09, 16789000
12, 1.69169707145136809e+09, 16789000
12, 1.69169709145153689e+09, 16789000
12, 1.69169711145170808e+09, 16789000
12, 1.69169713145188689e+09, 16789016
12, 1.69169715145204592e+09, 16789016
12, 1.69169717145221496e+09, 16789016
13, 1.69169699145046806e+09, 16370228
13, 1.69169701145080996e+09, 16763476
13, 1.69169703145101500e+09, 16763476
13, 1.69169705145117903e+09, 16763476
13, 1.69169707145137596e+09, 16763476
13, 1.69169709145154190e+09, 16763476
13, 1.69169711145172501e+09, 16763476
13, 1.69169713145189404e+09, 16763492
13, 1.69169715145207810e+09, 16763492
13, 1.69169717145224309e+09, 16763492
14, 1.69169699145050406e+09, 16400268
14, 1.69169701145083904e+09, 16715592
14, 1.69169703145102406e+09, 16715592
14, 1.69169705145117998e+09, 16715592
14, 1.69169707145135903e+09, 16715592
14, 1.69169709145152593e+09, 16715592
14, 1.69169711145170808e+09, 16715592
14, 1.69169713145189810e+09, 16715608
14, 1.69169715145205998e+09, 16715608
14, 1.69169717145223308e+09, 16715608
15, 1.69169699145040798e+09, 16364400
15, 1.69169701145071411e+09, 16757660
15, 1.69169703145087194e+09, 16757660
15, 1.69169705145101810e+09, 16757660
15, 1.69169707145119309e+09, 16757660
15, 1.69169709145135808e+09, 16757660
15, 1.69169711145153904e+09, 16757660
15, 1.69169713145169497e+09, 16757676
15, 1.69169715145188904e+09, 16757676
15, 1.69169717145204902e+09, 16757676
16, 1.69169699145054793e+09, 16406256
16, 1.69169701145083809e+09, 16799512
16, 1.69169703145104408e+09, 16799512
16, 1.69169705145121408e+09, 16799512
16, 1.69169707145140505e+09, 16799512
16, 1.69169709145157790e+09, 16799512
16, 1.69169711145176792e+09, 16799512
16, 1.69169713145194793e+09, 16799528
16, 1.69169715145211411e+09, 16799528
16, 1.69169717145229697e+09, 16799528
17, 1.69169699145043397e+09, 16420144
17, 1.69169701145071006e+09, 16813396
17, 1.69169703145092297e+09, 16813396
17, 1.69169705145108891e+09, 16813396
17, 1.69169707145126510e+09, 16813396
17, 1.69169709145143294e+09, 16813396
17, 1.69169711145161605e+09, 16813396
17, 1.69169713145179296e+09, 16813412
17, 1.69169715145197701e+09, 16813412
17, 1.69169717145214796e+09, 16813412
18, 1.69169699145037293e+09, 16417392
18, 1.69169701145069790e+09, 16732712
18, 1.69169703145086288e+09, 16732712
18, 1.69169705145103312e+09, 16732712
18, 1.69169707145120907e+09, 16732712
18, 1.69169709145137405e+09, 16732712
18, 1.69169711145155001e+09, 16732712
18, 1.69169713145171905e+09, 16732728
18, 1.69169715145189404e+09, 16732728
18, 1.69169717145205688e+09, 16732728
19, 1.69169699145048690e+09, 16414600
19, 1.69169701145081592e+09, 16807860
19, 1.69169703145100093e+09, 16807860
19, 1.69169705145117998e+09, 16807860
19, 1.69169707145133710e+09, 16807860
19, 1.69169709145148492e+09, 16807860
19, 1.69169711145165396e+09, 16807860
19, 1.69169713145183897e+09, 16807876
19, 1.69169715145201802e+09, 16807876
19, 1.69169717145218706e+09, 16807876
20, 1.69169699145055509e+09, 16411056
20, 1.69169701145090199e+09, 16726352
20, 1.69169703145108199e+09, 16726352
20, 1.69169705145126200e+09, 16726352
20, 1.69169707145147610e+09, 16726352
20, 1.69169709145167303e+09, 16726352
20, 1.69169711145187497e+09, 16726352
20, 1.69169713145207310e+09, 16726368
20, 1.69169715145227599e+09, 16726368
20, 1.69169717145246696e+09, 16726368
21, 1.69169699145045400e+09, 16369072
21, 1.69169701145080709e+09, 16762344
21, 1.69169703145099092e+09, 16762344
21, 1.69169705145118093e+09, 16762344
21, 1.69169707145139599e+09, 16762344
21, 1.69169709145158792e+09, 16762344
21, 1.69169711145178890e+09, 16762344
21, 1.69169713145197511e+09, 16762360
21, 1.69169715145217609e+09, 16762360
21, 1.69169717145236111e+09, 16762360
22, 1.69169699145039892e+09, 16457668
22, 1.69169701145077705e+09, 16850952
22, 1.69169703145097399e+09, 16850952
