# rank, time, memory kiB
0, 1.69168890231791091e+09, 17453812
0, 1.69168892231825495e+09, 17845692
0, 1.69168894231843495e+09, 17845692
0, 1.69168896231860399e+09, 17845692
0, 1.69168898231877708e+09, 17845692
0, 1.69168900231895590e+09, 17845692
0, 1.69168902231912994e+09, 17845692
0, 1.69168904231929803e+09, 17845708
0, 1.69168906231946492e+09, 17845708
1, 1.69168890231792593e+09, 17456644
1, 1.69168892231828499e+09, 17848440
1, 1.69168894231845188e+09, 17848440
1, 1.69168896231861901e+09, 17848440
1, 1.69168898231878710e+09, 17848440
1, 1.69168900231895995e+09, 17848576
1, 1.69168902231915402e+09, 17848576
1, 1.69168904231932211e+09, 17848592
1, 1.69168906231948900e+09, 17848592
2, 1.69168890231792402e+09, 17459076
2, 1.69168892231827307e+09, 17850844
2, 1.69168894231843400e+09, 17850844
2, 1.69168896231859398e+09, 17850844
2, 1.69168898231875300e+09, 17850844
2, 1.69168900231891108e+09, 17850980
2, 1.69168902231909394e+09, 17850980
2, 1.69168904231925201e+09, 17850996
2, 1.69168906231941104e+09, 17850996
3, 1.69168890231793594e+09, 17493644
3, 1.69168892231829596e+09, 17885548
3, 1.69168894231846309e+09, 17885548
3, 1.69168896231865311e+09, 17885548
3, 1.69168898231883407e+09, 17885548
3, 1.69168900231902003e+09, 17885548
3, 1.69168902231919694e+09, 17885548
3, 1.69168904231939197e+09, 17885564
3, 1.69168906231954503e+09, 17885564
4, 1.69168890231783891e+09, 17449196
4, 1.69168892231817508e+09, 17840940
4, 1.69168894231833506e+09, 17841076
4, 1.69168896231849098e+09, 17841076
4, 1.69168898231865191e+09, 17841076
4, 1.69168900231884098e+09, 17841076
4, 1.69168902231899095e+09, 17841076
4, 1.69168904231914902e+09, 17841092
4, 1.69168906231930208e+09, 17841092
5, 1.69168890231784892e+09, 17445232
5, 1.69168892231809998e+09, 17836996
5, 1.69168894231825709e+09, 17836996
5, 1.69168896231840897e+09, 17836996
5, 1.69168898231856704e+09, 17836996
5, 1.69168900231872201e+09, 17837144
5, 1.69168902231888390e+09, 17837144
5, 1.69168904231904411e+09, 17837160
5, 1.69168906231919503e+09, 17837160
6, 1.69168890231791902e+09, 17457788
6, 1.69168892231821609e+09, 17849524
6, 1.69168894231836295e+09, 17849524
6, 1.69168896231851101e+09, 17849660
6, 1.69168898231870198e+09, 17849660
6, 1.69168900231884193e+09, 17849660
6, 1.69168902231900501e+09, 17849660
6, 1.69168904231915402e+09, 17849676
6, 1.69168906231932306e+09, 17849676
7, 1.69168890231787705e+09, 17453908
7, 1.69168892231817698e+09, 17845672
7, 1.69168894231833291e+09, 17845672
7, 1.69168896231849408e+09, 17845672
7, 1.69168898231865907e+09, 17845672
7, 1.69168900231882811e+09, 17845816
7, 1.69168902231900907e+09, 17845816
7, 1.69168904231917596e+09, 17845832
7, 1.69168906231933594e+09, 17845832
8, 1.69168890231793189e+09, 17484248
8, 1.69168892231823802e+09, 17798312
8, 1.69168894231838107e+09, 17798312
8, 1.69168896231852508e+09, 17798312
8, 1.69168898231867194e+09, 17798312
8, 1.69168900231882191e+09, 17798448
8, 1.69168902231898093e+09, 17798448
8, 1.69168904231914091e+09, 17798448
8, 1.69168906231930304e+09, 17798448
9, 1.69168890231786609e+09, 17475188
9, 1.69168892231822491e+09, 17866916
9, 1.69168894231837201e+09, 17866916
9, 1.69168896231851912e+09, 17866916
9, 1.69168898231866789e+09, 17866916
9, 1.69168900231882095e+09, 17867052
9, 1.69168902231898904e+09, 17867052
9, 1.69168904231914997e+09, 17867068
9, 1.69168906231930995e+09, 17867068
10, 1.69168890231787491e+09, 17475340
10, 1.69168892231821203e+09, 17867068
10, 1.69168894231839800e+09, 17867068
10, 1.69168896231854892e+09, 17867068
10, 1.69168898231868291e+09, 17867068
10, 1.69168900231883001e+09, 17867204
10, 1.69168902231905103e+09, 17867204
10, 1.69168904231919193e+09, 17867220
10, 1.69168906231933498e+09, 17867220
11, 1.69168890231790090e+09, 17471316
11, 1.69168892231825399e+09, 17785380
11, 1.69168894231840992e+09, 17785380
11, 1.69168896231856704e+09, 17785380
11, 1.69168898231872702e+09, 17785380
11, 1.69168900231888390e+09, 17785516
11, 1.69168902231905890e+09, 17785516
11, 1.69168904231923199e+09, 17785532
11, 1.69168906231938291e+09, 17785532
12, 1.69168890231786799e+09, 17500620
12, 1.69168892231812906e+09, 17892492
12, 1.69168894231830907e+09, 17892492
12, 1.69168896231846309e+09, 17892492
12, 1.69168898231859303e+09, 17892492
12, 1.69168900231873703e+09, 17892492
12, 1.69168902231889892e+09, 17892492
12, 1.69168904231904697e+09, 17892508
12, 1.69168906231919694e+09, 17892508
13, 1.69168890231797099e+09, 17498296
13, 1.69168892231827497e+09, 17812508
13, 1.69168894231849408e+09, 17812508
13, 1.69168896231864691e+09, 17812508
13, 1.69168898231880212e+09, 17812508
13, 1.69168900231897092e+09, 17812508
13, 1.69168902231913495e+09, 17812508
13, 1.69168904231929803e+09, 17812524
13, 1.69168906231943703e+09, 17812524
14, 1.69168890231788993e+09, 17486328
14, 1.69168892231820297e+09, 17878228
14, 1.69168894231842089e+09, 17878228
14, 1.69168896231856704e+09, 17878228
14, 1.69168898231868505e+09, 17878228
14, 1.69168900231884289e+09, 17878228
14, 1.69168902231901789e+09, 17878228
14, 1.69168904231917000e+09, 17878244
14, 1.69168906231933308e+09, 17878244
15, 1.69168890231792903e+09, 17442752
15, 1.69168892231824398e+09, 17834640
15, 1.69168894231847501e+09, 17834640
15, 1.69168896231864095e+09, 17834640
15, 1.69168898231879711e+09, 17834640
15, 1.69168900231897402e+09, 17834640
15, 1.69168902231915808e+09, 17834640
15, 1.69168904231933403e+09, 17834656
15, 1.69168906231950688e+09, 17834656
16, 1.69168890231797695e+09, 17440236
16, 1.69168892231832409e+09, 17832080
16, 1.69168894231848502e+09, 17832080
16, 1.69168896231862807e+09, 17832080
16, 1.69168898231877995e+09, 17832080
16, 1.69168900231895399e+09, 17832080
16, 1.69168902231911993e+09, 17832080
16, 1.69168904231927609e+09, 17832096
16, 1.69168906231943488e+09, 17832096
17, 1.69168890231790304e+09, 17448716
17, 1.69168892231830096e+09, 17840568
17, 1.69168894231851912e+09, 17840568
17, 1.69168896231867695e+09, 17840568
17, 1.69168898231881595e+09, 17840568
17, 1.69168900231896496e+09, 17840568
17, 1.69168902231913304e+09, 17840568
17, 1.69168904231929302e+09, 17840584
17, 1.69168906231944704e+09, 17840584
18, 1.69168890231794405e+09, 17453152
18, 1.69168892231830597e+09, 17845000
18, 1.69168894231852293e+09, 17845000
18, 1.69168896231867003e+09, 17845000
18, 1.69168898231882596e+09, 17845000
18, 1.69168900231897998e+09, 17845000
18, 1.69168902231914401e+09, 17845000
18, 1.69168904231929803e+09, 17845016
18, 1.69168906231947494e+09, 17845016
19, 1.69168890231789804e+09, 17428616
19, 1.69168892231828308e+09, 17820440
19, 1.69168894231849289e+09, 17820440
19, 1.69168896231864595e+09, 17820440
19, 1.69168898231879210e+09, 17820440
19, 1.69168900231893802e+09, 17820440
19, 1.69168902231910110e+09, 17820440
19, 1.69168904231926107e+09, 17820440
19, 1.69168906231941795e+09, 17820456
20, 1.69168890231793094e+09, 17421708
20, 1.69168892231828403e+09, 17813544
20, 1.69168894231847095e+09, 17813544
20, 1.69168896231864595e+09, 17813544
20, 1.69168898231886411e+09, 17813544
20, 1.69168900231905508e+09, 17813544
20, 1.69168902231925797e+09, 17813544
20, 1.69168904231943893e+09, 17813560
20, 1.69168906231963611e+09, 17813560
21, 1.69168890231783605e+09, 17449636
21, 1.69168892231822109e+09, 17841348
21, 1.69168894231840992e+09, 17841484
21, 1.69168896231859803e+09, 17841484
21, 1.69168898231882691e+09, 17841484
21, 1.69168900231904793e+09, 17841484
21, 1.69168902231926894e+09, 17841484
21, 1.69168904231945610e+09, 17841500
21, 1.69168906231967211e+09, 17841500
22, 1.69168890231790400e+09, 17445692
22, 1.69168892231825495e+09, 17837532
22, 1.69168894231842589e+09, 17837532
22, 1.69168896231860995e+09, 17837532
22, 1.69168898231878710e+09, 17837532
22, 1.69168900231897712e+09, 17837532
22, 1.69168902231919789e+09, 17837532
22, 1.69168904231939292e+09, 17837548
22, 1.69168906231961608e+09, 17837548
23, 1.69168890231785798e+09, 17442628
23, 1.69168892231822991e+09, 17834324
23, 1.69168894231842709e+09, 17834324
23, 1.69168896231862497e+09, 17834324
23, 1.69168898231882501e+09, 17834324
23, 1.69168900231904697e+09, 17834464
23, 1.69168902231929994e+09, 17834464
23, 1.69168904231951404e+09, 17834480
23, 1.69168906231971598e+09, 17834480
24, 1.69168890231789589e+09, 17448424
24, 1.69168892231826091e+09, 17840256
24, 1.69168894231842208e+09, 17840256
24, 1.69168896231857705e+09, 17840256
24, 1.69168898231875992e+09, 17840256
24, 1.69168900231891608e+09, 17840256
24, 1.69168902231909394e+09, 17840256
24, 1.69168904231924891e+09, 17840272
24, 1.69168906231942105e+09, 17840272
25, 1.69168890231798005e+09, 17449984
25, 1.69168892231834698e+09, 17841684
25, 1.69168894231851506e+09, 17841684
25, 1.69168896231868291e+09, 17841820
25, 1.69168898231886411e+09, 17841820
25, 1.69168900231903505e+09, 17841820
25, 1.69168902231923890e+09, 17841820
25, 1.69168904231940389e+09, 17841836
25, 1.69168906231959796e+09, 17841836
26, 1.69168890231787705e+09, 17480856
26, 1.69168892231823301e+09, 17795088
26, 1.69168894231839395e+09, 17795088
26, 1.69168896231855297e+09, 17795088
26, 1.69168898231873894e+09, 17795088
26, 1.69168900231890011e+09, 17795088
26, 1.69168902231908798e+09, 17795088
26, 1.69168904231925297e+09, 17795104
26, 1.69168906231943297e+09, 17795104
27, 1.69168890231793094e+09, 17436804
27, 1.69168892231827307e+09, 17828636
27, 1.69168894231844401e+09, 17828636
27, 1.69168896231863308e+09, 17828636
27, 1.69168898231881404e+09, 17828636
27, 1.69168900231899905e+09, 17828636
27, 1.69168902231918502e+09, 17828636
27, 1.69168904231936789e+09, 17828652
27, 1.69168906231954408e+09, 17828652
28, 1.69168890231804705e+09, 17467660
28, 1.69168892231840205e+09, 17859484
28, 1.69168894231864905e+09, 17859484
28, 1.69168896231880689e+09, 17859484
28, 1.69168898231898594e+09, 17859484
28, 1.69168900231917310e+09, 17859484
28, 1.69168902231936693e+09, 17859484
28, 1.69168904231954098e+09, 17859500
28, 1.69168906231972694e+09, 17859500
29, 1.69168890231796694e+09, 17443532
29, 1.69168892231827307e+09, 17835368
29, 1.69168894231846309e+09, 17835368
29, 1.69168896231865907e+09, 17835368
29, 1.69168898231888390e+09, 17835368
29, 1.69168900231908011e+09, 17835368
29, 1.69168902231930804e+09, 17835368
29, 1.69168904231945992e+09, 17835384
29, 1.69168906231968904e+09, 17835384
30, 1.69168890231795406e+09, 17509184
30, 1.69168892231829095e+09, 17823364
30, 1.69168894231844807e+09, 17823364
30, 1.69168896231861806e+09, 17823364
30, 1.69168898231877708e+09, 17823364
30, 1.69168900231894898e+09, 17823364
30, 1.69168902231911397e+09, 17823364
30, 1.69168904231927395e+09, 17823380
30, 1.69168906231943202e+09, 17823380
31, 1.69168890231798792e+09, 17504700
31, 1.69168892231830311e+09, 17896404
31, 1.69168894231847310e+09, 17896404
31, 1.69168896231864905e+09, 17896404
31, 1.69168898231882811e+09, 17896404
31, 1.69168900231902003e+09, 17896540
31, 1.69168902231921291e+09, 17896540
31, 1.69168904231939197e+09, 17896540
31, 1.69168906231955290e+09, 17896556
